Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1690618013.560	    24.516	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_8.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 8     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
2	:	1690618013.545	    24.562	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_2.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 2     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
6	:	1690618013.555	    24.619	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_6.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 6     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
3	:	1690618013.547	    24.669	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_3.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 3     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
9	:	1690618013.562	    24.813	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_9.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 9     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
5	:	1690618013.552	    24.964	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_5.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 5     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
10	:	1690618013.565	    25.266	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_10.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 10     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
4	:	1690618013.550	    25.302	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_4.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 4     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
11	:	1690618013.568	    25.501	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_11.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 11     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
12	:	1690618013.570	    25.751	0	0	0	0	python3 /work/attdeepcaller/scripts/../attdeepcaller.py CallVariantsFromCffi     --chkpnt_fn /data2/attdeepcaller/data/model/ATT-chr20/finetun-chr20/pileup     --bam_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/HG003_chr20_demo.bam     --call_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/pileup_output/pileup_chr20_12.vcf     --sampleName SAMPLE     --ref_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/GRCh38_no_alt_chr20.fa     --extend_bed /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/split_beds/chr20     --bed_fn /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quick_demo.bed     --vcf_fn EMPTY     --ctgName chr20     --chunk_id 12     --chunk_num 13     --platform ont     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.15     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --enable_long_indel False     --samtools samtools     --temp_file_dir /work/attdeepcaller/./attdeepcaller_ont_quickDemo/quickoutput/tmp/gvcf_tmp_output     --pileup     --keep_iupac_bases False     --use_gpu False
